welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,prep_resp.rt,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,m,1,0.379,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,25,1,179,n,M,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,m,1,0.545,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,16,1,179,i,c,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,1,0.51,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,11,1,179,c,i,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,m,1,0.427,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,7,1,179,R,k,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,1,0.46,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,10,1,179,c,i,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,1,0.643,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,22,1,179,M,n,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,m,0,0.561,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,29,1,179,n,M,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,1,0.443,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,3,1,179,k,R,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,0,0.461,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,26,1,179,M,n,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,m,1,0.379,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,4,1,179,R,k,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,0,0.543,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,6,0,180,19,1,179,c,i,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,c,1,0.364,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,space,1.807,space,1.281,m,0.313,2,0,92,21,1,91,n,k,F,A,m,,,
