welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,check_resp.keys,check_resp.rt,learnt_resp.keys,learnt_resp.rt,checks.thisRepN,checks.thisTrialN,checks.thisN,checks.thisIndex,checks.ran,checks.order,question,learnt_letters,numbers
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,0,0.38,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,8,1,179,l21.jpg,l22.jpg,m,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.364,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,3,1,179,l21.jpg,l22.jpg,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.379,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,13,1,179,l23.jpg,l24.jpg,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.331,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,12,1,179,l23.jpg,l24.jpg,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,0,0.367,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,6,1,179,l22.jpg,l21.jpg,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.331,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,11,1,179,l23.jpg,l24.jpg,c,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,0,0.397,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,28,1,179,l26.jpg,l25.jpg,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.396,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,25,1,179,l26.jpg,l25.jpg,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.463,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,14,1,179,l24.jpg,l23.jpg,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.397,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,21,1,179,l25.jpg,l26.jpg,c,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.431,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,16,1,179,l24.jpg,l23.jpg,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.478,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,5,1,179,l22.jpg,l21.jpg,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,0,0.496,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,26,1,179,l25.jpg,l26.jpg,m,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,0,0.38,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,17,1,179,l24.jpg,l23.jpg,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,0,0.429,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,9,1,179,l22.jpg,l21.jpg,c,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.347,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,0,1,179,l21.jpg,l22.jpg,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,0,0.363,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,29,1,179,l26.jpg,l25.jpg,c,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,0,0.465,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,18,1,179,l24.jpg,l23.jpg,c,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.346,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,7,1,179,l22.jpg,l21.jpg,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.379,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,4,1,179,l22.jpg,l21.jpg,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,1,0.43,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,1,1,179,l21.jpg,l22.jpg,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.345,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,15,1,179,l24.jpg,l23.jpg,m,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,m,1,0.397,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,23,1,179,l26.jpg,l25.jpg,m,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,c,0,0.38,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,,,,,,,,,,,,,space,1.013,space,1.256,m,0.247,2,0,92,6,1,91,l21.jpg,l23.jpg,A,C,c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,,,,,,,,,,,,,,,,,m,0.214,2,0,92,0,1,91,l21.jpg,l22.jpg,A,B,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,,,,,,,,,,,,,,,,,m,0.165,2,0,92,38,1,91,l23.jpg,l25.jpg,C,E,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-06_22h24.50.811,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,,,,,,,,,,,,,,,,,m,0.213,2,0,92,30,1,91,l22.jpg,l25.jpg,B,E,,m,,,,,,,,,,,,,
